"","x","y","relab","maxima"
"393",233392.5,0,0,FALSE
"394",233393.5,0,0,FALSE
"395",233394.5,0,0,FALSE
"396",233395.5,0,0,FALSE
"397",233396.5,0,0,FALSE
"398",233397.5,0,0,FALSE
"399",233398.5,0,0,FALSE
"400",233399.5,0,0,FALSE
"401",233400.5,0,0,FALSE
"402",233401.5,0,0,FALSE
"403",233402.5,0,0,FALSE
"404",233403.5,0,0,FALSE
"405",233404.5,0,0,FALSE
"406",233405.5,0,0,FALSE
"407",233406.5,0,0,FALSE
"408",233407.5,0,0,FALSE
"409",233408.5,0,0,FALSE
"410",233409.5,0,0,FALSE
"411",233410.5,0,0,FALSE
"412",233411.5,0,0,FALSE
"413",233412.5,0,0,FALSE
"414",233413.5,0,0,FALSE
"415",233414.5,0,0,FALSE
"416",233415.5,0,0,FALSE
"417",233416.5,0,0,FALSE
"418",233417.5,0,0,FALSE
"419",233418.5,0,0,FALSE
"420",233419.5,0,0,FALSE
"421",233420.5,0,0,FALSE
"422",233421.5,0,0,FALSE
"423",233422.5,0,0,FALSE
"424",233423.5,0,0,FALSE
"425",233424.5,0,0,FALSE
"426",233425.5,0,0,FALSE
"427",233426.5,0,0,FALSE
"428",233427.5,0,0,FALSE
"429",233428.5,0,0,FALSE
"430",233429.5,0,0,FALSE
"431",233430.5,0,0,FALSE
"432",233431.5,0,0,FALSE
"433",233432.5,0,0,FALSE
"434",233433.5,0,0,FALSE
"435",233434.5,0,0,FALSE
"436",233435.5,0,0,FALSE
"437",233436.5,0,0,FALSE
"438",233437.5,0,0,FALSE
"439",233438.5,0,0,FALSE
"440",233439.5,0,0,FALSE
"441",233440.5,0,0,FALSE
"442",233441.5,0,0,FALSE
"443",233442.5,0,0,FALSE
"444",233443.5,0,0,FALSE
"445",233444.5,0,0,FALSE
"446",233445.5,0,0,FALSE
"447",233446.5,0,0,FALSE
"448",233447.5,0,0,FALSE
"449",233448.5,0,0,FALSE
"450",233449.5,0,0,FALSE
"451",233450.5,0,0,FALSE
"452",233451.5,0,0,FALSE
"453",233452.5,0,0,FALSE
"454",233453.5,0,0,FALSE
"455",233454.5,0,0,FALSE
"456",233455.5,0,0,FALSE
"457",233456.5,0,0,FALSE
"458",233457.5,0,0,FALSE
"459",233458.5,0,0,FALSE
"460",233459.5,0,0,FALSE
"461",233460.5,0,0,FALSE
"462",233461.5,0,0,FALSE
"463",233462.5,0,0,FALSE
"464",233463.5,0,0,FALSE
"465",233464.5,0,0,FALSE
"466",233465.5,0,0,FALSE
"467",233466.5,0,0,FALSE
"468",233467.5,0,0,FALSE
"469",233468.5,0,0,FALSE
"470",233469.5,0,0,FALSE
"471",233470.5,0,0,FALSE
"472",233471.5,0,0,FALSE
"473",233472.5,0,0,FALSE
"474",233473.5,0,0,FALSE
"475",233474.5,0,0,FALSE
"476",233475.5,0,0,FALSE
"477",233476.5,0,0,FALSE
"478",233477.5,0,0,FALSE
"479",233478.5,0,0,FALSE
"480",233479.5,0,0,FALSE
"481",233480.5,0,0,FALSE
"482",233481.5,0,0,FALSE
"483",233482.5,0,0,FALSE
"484",233483.5,0,0,FALSE
"485",233484.5,0,0,FALSE
"486",233485.5,0,0,FALSE
"487",233486.5,0,0,FALSE
"488",233487.5,0,0,FALSE
"489",233488.5,0,0,FALSE
"490",233489.5,0,0,FALSE
"491",233490.5,0,0,FALSE
"492",233491.5,0,0,FALSE
"493",233492.5,0,0,FALSE
"494",233493.5,0,0,FALSE
"495",233494.5,0,0,FALSE
"496",233495.5,0,0,FALSE
"497",233496.5,0,0,FALSE
"498",233497.5,0,0,FALSE
"499",233498.5,0,0,FALSE
"500",233499.5,0,0,FALSE
"501",233500.5,0,0,FALSE
"502",233501.5,0,0,FALSE
"503",233502.5,0,0,FALSE
"504",233503.5,0,0,FALSE
"505",233504.5,0,0,FALSE
"506",233505.5,0,0,FALSE
"507",233506.5,0,0,FALSE
"508",233507.5,0,0,FALSE
"509",233508.5,0,0,FALSE
"510",233509.5,0,0,FALSE
"511",233510.5,0,0,FALSE
"512",233511.5,0,0,FALSE
"513",233512.5,0,0,FALSE
"514",233513.5,0,0,FALSE
"515",233514.5,0,0,FALSE
"516",233515.5,0,0,FALSE
"517",233516.5,0,0,FALSE
"518",233517.5,0,0,FALSE
"519",233518.5,0,0,FALSE
"520",233519.5,0,0,FALSE
"521",233520.5,0,0,FALSE
"522",233521.5,0,0,FALSE
"523",233522.5,0,0,FALSE
"524",233523.5,0,0,FALSE
"525",233524.5,0,0,FALSE
"526",233525.5,0,0,FALSE
"527",233526.5,0,0,FALSE
"528",233527.5,0,0,FALSE
"529",233528.5,0,0,FALSE
"530",233529.5,0,0,FALSE
"531",233530.5,0,0,FALSE
"532",233531.5,0,0,FALSE
"533",233532.5,0,0,FALSE
"534",233533.5,0,0,FALSE
"535",233534.5,0,0,FALSE
"536",233535.5,0,0,FALSE
"537",233536.5,0,0,FALSE
"538",233537.5,0,0,FALSE
